location_name,area,city,address,latitude,longitude,location_description,location_amenities,unit_name,category,capacity,base_price,unit_description,unit_amenities
IndiQube Alpha,Indiranagar,Bengaluru,100 Feet Road Indiranagar Bengaluru,12.9716,77.6412,Verified coworking campus in Indiranagar,WiFi Parking Power Backup Cafeteria,Flex Desk Zone,coworking,8,650,Shared desks for startups and remote teams,WiFi AC Coffee
Awfis Prestige Tech Park,Kadubeesanahalli,Bengaluru,Prestige Tech Park Kadubeesanahalli Bengaluru,12.9345,77.6996,Managed coworking space for teams near ORR,WiFi Meeting Rooms Reception,Team Pod 6,coworking,6,900,Private pod for focused work,WiFi AC Whiteboard
WeWork Galaxy,Residency Road,Bengaluru,No 43 Residency Road Bengaluru,12.9713,77.6107,Premium coworking with meeting spaces in CBD,WiFi Lounge Access Card,Meeting Room Orion,coworking,10,1450,Boardroom style meeting room,Projector HDMI Coffee
BHIVE Koramangala 5th Block,Koramangala,Bengaluru,5th Block Koramangala Bengaluru,12.9352,77.6245,High-demand coworking campus in Koramangala,WiFi Parking Power Backup,Hot Desk Hub,coworking,5,550,Open hot desk seating,WiFi AC Printing
91Springboard HSR,HSR Layout,Bengaluru,27th Main HSR Layout Bengaluru,12.9116,77.6446,Operator verified coworking center in HSR,WiFi Pantry Security,Focus Cabin 4,coworking,4,800,Compact private cabin for teams,WiFi AC Whiteboard
GoodWorks Cowork Whitefield,Whitefield,Bengaluru,EPIP Zone Whitefield Bengaluru,12.9698,77.7499,Verified coworking near ITPL,WiFi Parking Pantry,Project Room 8,coworking,8,1100,Project room for collaboration,WiFi AC Screen
Playo Arena,Bellandur,Bengaluru,Sarjapur Road Bellandur Bengaluru,12.9279,77.6762,Verified sports center with multiple courts,Parking Washrooms Floodlights,Badminton Court A,sports,4,900,Synthetic badminton court slot,Floodlights Seating
Game Theory Koramangala,Koramangala,Bengaluru,80 Feet Road Koramangala Bengaluru,12.9274,77.6271,Indoor sports venue with partner-managed scheduling,Parking Washrooms Equipment,Badminton Court B,sports,4,850,Indoor badminton court for hourly play,Floodlights Water
Kicks on Grass,JP Nagar,Bengaluru,JP Nagar 7th Phase Bengaluru,12.9063,77.5856,Community football turf with verified host,Parking Washrooms First Aid,5v5 Football Turf,sports,10,1800,5v5 turf booking with evening slots,Floodlights Bibs
PLaY Sports Arena,Marathahalli,Bengaluru,Outer Ring Road Marathahalli Bengaluru,12.9568,77.7011,Multi-sport center with direct operator contact,Parking Washrooms Equipment,Box Cricket Pitch,sports,12,1600,Box cricket pitch suitable for corporate games,Floodlights Seating
Padukone Dravid Centre,Yelahanka,Bengaluru,Airport Road Yelahanka Bengaluru,13.1005,77.5963,Verified badminton venue with academy operations,Parking Washrooms Changing Room,Badminton Court C,sports,4,1100,Premium wooden badminton court,Shuttle Rental Seating
Bangalore International Exhibition Centre,Tumkur Road,Bengaluru,Tumkur Main Road Madavara Bengaluru,13.0482,77.4982,Large format events venue for exhibitions and launches,Parking Security Power Backup,Expo Hall 1,events,200,12000,High-capacity event hall with staging,Power Backup Security AC
